userid,bookcount,trainingcount,age,gender,goal,trainingduration,trainingcalorie,trainingtimes,trainingdays,runningtimes,cyclingtimes,hikingtimes,allduration,allcalorie,alltimes,alldays,traininggoal,difficulty,maxcomboday,kg,bmi,joinedplans,plans,vip_expire,bought_package
56eadfff623ccdd174e62817,1,2,36,F,1,3566.25,16710,255,117,38,12,0,5635.13,30171,309,134,2,1,9,6,22.83,1,35,NULL,1
570264387de7592705d65552,1,1,26,F,2,5194.28,31825,378,189,18,-1,349,16482.57,67939,798,323,2,1,40,9,19.95,0,80,NULL,0
5757a10affe57f2e54b31162,1,0,27,F,1,3143.55,18641,200,105,-1,-1,0,3255.72,19139,205,105,0,0,7,6,19.72,1,15,NULL,0
576a30b604100eec588ac677,1,0,28,M,1,1993.68,12647,127,67,1,-1,0,2050.42,14226,130,69,1,1,4,5,26.32,1,34,NULL,0
5803888b31f11677bfc289b3,8,8,25,M,1,476.52,4101,8,9,1,-1,0,558.12,5202,11,9,2,2,2,3,23.59,0,5,NULL,1
5895a3f031f1161975919302,5,3,28,F,2,417.9,1819,19,11,-1,-1,30,1369.72,3804,50,28,2,1,11,3,19.14,0,6,NULL,1
58a42c9c31f116689dd2dd92,4,4,26,F,1,1920.38,13613,112,64,12,-1,3,2933.25,20902,129,72,1,1,4,5,22.03,1,37,2018-12-01 23:59:59,0
58db0d9b49330374ff9ec7d4,5,5,30,F,1,3753.73,22613,201,102,-1,-1,1,4232.05,24572,222,110,2,2,4,6,19.13,0,84,NULL,1
58f77cac31f1162861c32356,2,1,29,F,2,48.52,174,5,4,-1,-1,0,168.63,536,9,7,2,1,2,0,15.24,1,9,NULL,0
5936b3b98c26a3088a9fdf0c,1,1,25,M,1,121.23,909,4,4,-1,-1,0,121.23,909,5,4,0,0,1,1,26.3,0,7,NULL,0
595ba99d15e66e62ab6b2bce,3,1,26,F,2,488.78,1560,32,25,-1,-1,0,488.78,1560,33,25,2,1,11,2,19.11,0,8,NULL,1
59a0c664094afb50e5cdaa4e,2,2,26,F,1,90.52,594,1,2,-1,-1,0,90.52,594,2,2,0,0,1,1,25.91,0,0,NULL,0
5a49d7027511ce2f8d27605c,6,6,39,F,4,439.07,3404,9,7,-1,-1,51,1832.23,6781,61,31,2,1,6,3,21.19,0,10,NULL,0
5a49e6c97511ce2f8d276a94,0,0,24,F,1,480.38,2289,46,26,0,-1,49,1916.17,5505,103,41,1,1,13,4,19.47,0,24,NULL,0
5a7337b6e66686515889df68,1,1,28,M,1,195.7,1232,15,10,-1,-1,21,931.67,3454,37,18,0,0,3,3,25.22,0,7,NULL,0
5a7c68d5e66686127445d905,3,3,28,F,1,229.12,1549,5,6,-1,-1,0,253.25,1620,7,7,0,0,2,2,20.2,0,11,NULL,0
5a92d8367511ce12edb84f21,0,0,36,F,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,21.8,0,6,NULL,0
5a9fc4d27511ce3671a76c9d,3,2,31,F,2,112.2,741,1,2,-1,-1,0,112.2,741,2,2,0,0,2,1,19.26,0,2,NULL,0
5ac762276b76fe6219f71bce,0,0,25,M,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0
5ae315d032b7985314b89d48,4,3,45,M,0,151.65,1345,2,2,-1,-1,0,151.65,1345,3,2,0,0,1,1,24.49,0,0,NULL,0
5b0957151cf3d103efd7f912,1,0,22,M,3,1872.2,9906,166,111,0,6,0,1959.77,10552,176,114,3,2,30,6,20.38,0,14,NULL,0
5b227d9c6b76fe494a1b02b2,3,1,26,F,4,176.88,699,13,11,-1,-1,94,2373.6,4995,108,38,0,0,18,0,15.94,0,10,NULL,0
5b23abca2e069035065de9e0,1,1,25,F,0,60.02,522,0,1,-1,-1,0,60.02,522,1,1,0,0,1,0,0,0,0,NULL,0
5b445b3f32b79806dda8d703,1,0,34,F,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,22.04,0,2,NULL,0
